rank,name,area,business_type,phone,maps_url,facebook_url,website_url,rating,review_count,social_activity,owner_name,owner_phone_visible,score_tf,score_pg,score_rs,score_or,score_pd,composite,reasoning
1,The Rossie Bean - Betterliving,"Better Living, Don Bosco",café,,https://www.google.com/maps/place/The+Rossie+Bean+-+Betterliving,https://www.facebook.com/TheRossieBean19/,,0,0,low,,False,5,5,2,2,4,37,"Exact cafe template match. Strong presence gap: 4.3K FB followers, active posting, Instagram linked, 100% recommend on 13 reviews -- but zero website. 13 reviews. No phone or owner name."
2,Desteanation Cafe Better Living,Better Living,cafe,0956 773 3044,https://www.google.com/maps/search/Desteanation+Cafe+Better+Living+Para%C3%B1aque,,,0,0,low,,True,5,3,1,5,3,36,"Exact cafe template match. Listed on directories but zero reviews, zero photos, no website. Direct mobile number visible, likely owner-operated."
3,Tubero Express PH Plumbing + Declogging Services,Don Bosco,plumber,,https://www.google.com/maps/search/Tubero+Express+PH+Plumbing+7346+A+Bonifacio+Parañaque,https://www.facebook.com/61577944720970/,,0,0,medium,,False,5,5,1,2,4,35,"Exact template match. Active FB page but zero website -- ideal prospect profile. Zero reviews, zero photos. FB messaging only."
4,Thirty Three Cafe (33 Cafe),BF Homes Paranaque,cafe,,https://www.google.com/maps/search/33+Cafe+280+Aguirre+Ave+BF+Homes+Paranaque,https://www.facebook.com/its33Cafe/,,0,0,low,,False,5,5,2,2,1,34,"Exact template match with active Facebook (1.8K followers, Reels with 500-2.2K views) but ZERO website -- only Canva menu and Shopee store. Revenue signals weak: only 5 reviews despite followers."
5,Paranaque Plumbing & Electrical Services,Don Bosco,plumber,,https://www.google.com/maps/search/Paranaque+Plumbing+Electrical+Services+Parañaque,https://www.facebook.com/pqueplumbingandelectricalservices/,,0,0,medium,,False,5,5,1,2,3,34,"Exact template fit. Medium FB activity with zero website. Zero reviews, zero photos, zero rating. No phone, no owner. FB page active enough to DM."
6,Malabanan Siphoning Services - Parañaque,Don Bosco,plumber,,https://www.google.com/maps/search/Malabanan+Siphoning+Services+Parañaque,https://www.facebook.com/100068170842620/,,0,0,medium,,False,5,5,1,2,3,34,"Exact template match. Medium-activity FB with no website. Zero reviews, zero photos. No phone, no name. Septic tank niche adds modest diversity."
7,Bake and Brew Cafe,Better Living,cafe,(02) 821 7329,https://www.google.com/maps/search/Bake+and+Brew+Cafe+24-E+Saudi+Arabia+St+Better+Living+Para%C3%B1aque,https://www.facebook.com/miguelandgabrielbakeandrew/,,0,2,medium,Miguel and Gabriel,False,5,3,1,4,3,34,"Cafe perfect template match. Medium FB activity with no website. Only 2 Google reviews, zero photos. Owner names visible, owner-operated with landline."
8,Kofee Manila - Annex 40 Better Living,Better Living,cafe,,https://www.google.com/maps/place/Kofee+Manila+-+Annex+40+Better+Living/data=!4m7!3m6!1s0x3397cf0046ca17cd:0x6d86f1dd30a79188!8m2!3d14.4851538!4d121.0090289!16s%2Fg%2F11mt84st3n,https://www.facebook.com/61559779200607/,,0,0,medium,,False,5,5,1,2,3,34,"Perfect template fit with active FB Reels + foodpanda/GrabFood listings but zero website. 0 Google reviews, 0 photos. Active FB page is messageable."
9,JPA Electrical Engineering Services,Sucat (Fortunata Village),electrician,,https://maps.google.com/?q=JPA+Electrical+Engineering+Services+Fortunata+Village+Paranaque,https://www.facebook.com/JulianoPAzoresElectricalEngineeringServices/,,0,0,low,Juliano P. Azores,False,5,3,1,3,3,32,"Exact template match. Owner name known (Juliano P. Azores). FB page but low activity. Zero reviews, zero photos. Formal branding signals professional pride."
10,JPA Electrical Engineering Services,San Isidro,electrician,,https://www.google.com/maps/place/JPA+Electrical+Engineering+Services,https://www.facebook.com/JulianoPAzoresElectricalEngineeringServices/,,0,0,low,Juliano P. Azores,False,5,3,1,3,3,32,"Exact template match. Owner name known (Juliano P. Azores). FB page but zero photos, zero reviews. No phone. Reachable via FB message."
11,FIG Kitchen and Cafe,BF Homes Paranaque,cafe,,https://www.google.com/maps/search/FIG+Kitchen+and+Cafe+229+Aguirre+Ave+BF+Homes+Paranaque,https://www.facebook.com/figkitchencafe/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. Facebook exists but low activity with no website. Zero reviews, zero photos. On busy Aguirre Ave surrounded by more visible competitors."
12,Brew'd Camp Cafe,"Better Living, Don Bosco",café,,https://www.google.com/maps/place/Brew'd+Camp+Cafe,,,0,0,low,,False,5,3,1,2,3,30,"Cafe exact template match. Low social with zero website. Zero reviews, zero photos. No phone, no owner, no FB link. Maps only."
13,"But First, Coffee (BFC) - Betterliving","Better Living, Don Bosco",café,,"https://www.google.com/maps/place/But+First,+Coffee+(BFC)+-+Betterliving",https://www.facebook.com/butfirstcoffeebetterliving/,,0,0,low,,False,5,3,1,2,3,30,"Exact cafe template match. FB page exists but zero reviews, zero photos, low activity. No phone or owner name. FB page messageable."
14,Pablings Barbershop BF Homes,BF Homes Paranaque,barbershop,,https://www.google.com/maps/search/Pablings+Barbershop+BF+Homes+Paranaque,https://www.facebook.com/people/Pablings-Barbershop-BF-Homes-Para%C3%B1aque/61566406251665/,,0,0,low,,False,5,3,1,2,3,30,"Perfect template fit but almost invisible online: zero reviews, zero photos, zero rating. FB page exists but dormant."
